Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6607812.93,492344.49,1128783.60,2893,0,2379,0,6757,0,605,0,33,0.7209473807794219,6828
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,11247833.20,219737.10,89470.00,2755,0,619,0,6532,0,1043,0,44,0.956907687230968,9012
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1381225.08,8780.65,4620.00,231,0,46,0,522,0,46,0,7,0.7533777431217763,468
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6978035.33,4510117.96,4275342.00,3541,0,1296,0,7696,0,1260,0,31,0.9564472348201003,12612
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,1618035.44,393424.59,1290897.00,310,0,86,0,683,0,203,0,30,0.241483312771087,5796
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1653838.55,524055.98,1750440.00,677,0,245,0,1728,0,379,0,9,0.9683218833309943,3516
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1438027.09,1421412.24,420192.64,1060,0,512,0,2394,0,479,0,28,0.9442710991916633,4152
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1950145.19,1099190.08,438266.06,873,0,383,0,2226,0,344,0,30,0.9186664079717743,3192
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1364123.32,398252.42,471790.62,586,0,141,0,1346,0,229,0,25,0.9002625958906443,1956
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,10290145.69,0.00,0,3309,0,1075,0,8373,0,1390,41,0.9823867619833504,14808
